Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - January 10, 2021, Texas",,,,,,,,,,,,,,,,,
"Current Report Period: January 4, 2021 - January 10, 2021",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Current Report Period,,,,,Cumulative Reports,,,,
,,,,,,,,,,"School Reported Source
of Infection",,,,,"School Reported Source
of Infection",,
District Name,"District
LEA
Number","Total District
Enrollment as
of October 30,
2020","Approximate
District On Campus
Enrollment as of
October 30, 2020",Campus Name,"Campus
ID","Total School
Enrollment as
of October
30, 2020","On-Campus
Enrollment for
School as of
October 30, 2020","New
Student
Cases","New
Staff
Cases","On
SEALY ISD,'008902,2816,2522,,"Multiple
Campus",NR,NR,,,,,,0,3,0,1,2
SEALY ISD,'008902,2816,2522,SELMAN EL,'008902102,640,592,,,,,,13,15,0,12,16
SEALY ISD,'008902,2816,2522,SEALY J H,'008902041,682,603,*,0,*,*,*,14,3,0,8,9
SEALY ISD,'008902,2816,2522,SEALY H S,'008902001,819,717,5,2,0,7,0,23,11,1,24,9
SEALY ISD TOTAL,'008902,2816,2522,,,2816,2522,*,4,*,*,*,*,39,*,*,*
BRAZOS ISD,'008903,794,647,"PRAIRIE HARBOR ALTERNATIVE
SCHOOL",'008903103,NR,NR,,,,,,,,,,
BRAZOS ISD,'008903,794,647,BRAZOS MIDDLE,'008903041,209,179,,,,,,*,0,*,*,*
BRAZOS ISD,'008903,794,647,BRAZOS EL,'008903102,332,292,,,,,,11,4,0,12,3
BRAZOS ISD,'008903,794,647,BRAZOS H S,'008903001,253,176,,,,,,15,7,0,6,16
BRAZOS ISD TOTAL,'008903,794,647,,,794,647,,,,,,*,11,*,*,*
MULESHOE ISD,'009901,1336,1277,DILLMAN EL,'009901103,345,333,,,,,,*,8,*,*,*
MULESHOE ISD,'009901,1336,1277,,"Multiple
Campus",NR,NR,0,1,0,1,0,0,11,0,10,1
MULESHOE ISD,'009901,1336,1277,MARY DESHAZO EL,'009901101,303,297,,,,,,6,6,0,12,0
